STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,AUX_OBS_STATUS,Aux observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,BASE_PER,Base year,DECIMALS,Decimals
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2014,,14595,,,,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2013,,14240,,B,Time series break,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2012,,12512.61605,,B,Time series break,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2011,,12235.2997,,B,Time series break,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2010,,10892,,,,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2009,,10408,,,,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2008,,10502,,,,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2007,,10342,,,,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2006,,10175,,,,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2005,,9772,,,,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2004,,9469,,,,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2003,,9148,,,,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2002,,8747,,,,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2001,,8655,,,,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2000,,8090,,,,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2024,,8.64083667,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2023,,6.968424472,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2022,,12.8510313,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2021,,13.3465095,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2020,,14.13571424,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2019,,11.03430639,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2018,,13.7249367,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2017,,14.18413393,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2016,,14.04034441,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2015,,0.133550542,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2014,,0.65383394,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2013,,8.465923969,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2012,,13.88716363,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2011,,12.07261116,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2010,,11.39640984,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2009,,9.368726414,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2008,,6.328028993,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2007,,16.41774176,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2006,,9.005085239,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2005,,15.53414271,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2004,,3.724892835,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2003,,36.11168994,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2002,,5.695533433,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2001,,-1.650565351,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,T_RS,Researchers,FTE,Full time equivalent unit,_Z,Not applicable,GY,"Growth rate, over 1 year",2000,,15.04111637,,,,,,,,,,,,0,Units,,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2024,,225.0948061,,P,Provisional value,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2023,,239.0699938,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2022,,186.5257791,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2021,,168.9798585,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2020,,150.1083115,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2019,,150.3199812,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2018,,138.4570363,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2017,,127.2590233,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2016,,108.9141705,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2015,,98.54429292,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2014,,73.93153072,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2013,,71.93293314,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2012,,86.77200987,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2011,,84.74004126,,B,Time series break,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2010,,73.17427776,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2009,,69.31170309,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2008,,86.73875774,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2007,,65.88990782,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2006,,49.82461,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2005,,38.08275726,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2004,,33.69479794,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2003,,28.96212837,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2002,,26.56467905,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2001,,25.04663218,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_Z,Not applicable,2000,,21.45116842,,,,,,,,,,,,0,Units,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HRV,Croatia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP,"US dollars, PPP converted",Q,Constant prices,GY,"Growth rate, over 1 year",2024,,2.614102397,,P,Provisional value,,,,,,,,,0,Units,2020,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HRV,Croatia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP,"US dollars, PPP converted",Q,Constant prices,GY,"Growth rate, over 1 year",2023,,-0.09281202,,,,,,,,,,,,0,Units,2020,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HRV,Croatia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP,"US dollars, PPP converted",Q,Constant prices,GY,"Growth rate, over 1 year",2022,,22.5909894,,,,,,,,,,,,0,Units,2020,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HRV,Croatia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP,"US dollars, PPP converted",Q,Constant prices,GY,"Growth rate, over 1 year",2021,,13.22557287,,,,,,,,,,,,0,Units,2020,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HRV,Croatia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP,"US dollars, PPP converted",Q,Constant prices,GY,"Growth rate, over 1 year",2020,,5.154016609,,,,,,,,,,,,0,Units,2020,,1,One
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HRV,Croatia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),USD_PPP,"US dollars, PPP converted",Q,Constant prices,GY,"Growth rate, over 1 year",2019,,17.39536547,,,,,,,,,,,,0,Units,2020,,1,One
